raga,order,missing_rate,accuracy_mean,accuracy_std,n_trials,seed
Yaman,1,0.1,0.4388888888888889,0.3158801810233424,60,20260731
Yaman,1,0.3,0.45166666666666655,0.1770680867481003,60,20260731
Yaman,1,0.5,0.41354166666666664,0.14650395643603767,60,20260731
Yaman,2,0.1,0.5388888888888889,0.3194372798672524,60,20260731
Yaman,2,0.3,0.4333333333333333,0.1569482983710939,60,20260731
Yaman,2,0.5,0.384375,0.12856412450668145,60,20260731
Yaman,3,0.1,0.45,0.31786126147150445,60,20260731
Yaman,3,0.3,0.38999999999999996,0.17143462459046763,60,20260731
Yaman,3,0.5,0.35833333333333334,0.14685377446101386,60,20260731
Bhairav,1,0.1,0.4888888888888889,0.27077809809052905,60,20260731
Bhairav,1,0.3,0.4716666666666667,0.18327682745024257,60,20260731
Bhairav,1,0.5,0.39375,0.1353256430282781,60,20260731
Bhairav,2,0.1,0.5000000000000001,0.2778719237821003,60,20260731
Bhairav,2,0.3,0.42999999999999994,0.1730092581043873,60,20260731
Bhairav,2,0.5,0.415625,0.13261996887372504,60,20260731
Bhairav,3,0.1,0.5000000000000001,0.2710098294963041,60,20260731
Bhairav,3,0.3,0.41333333333333333,0.1760842120052622,60,20260731
Bhairav,3,0.5,0.39375,0.11350772765449996,60,20260731
Todi,1,0.1,0.4722222222222222,0.2831865134165857,60,20260731
Todi,1,0.3,0.44000000000000006,0.14520587371973584,60,20260731
Todi,1,0.5,0.40208333333333335,0.13437643705709046,60,20260731
Todi,2,0.1,0.5055555555555556,0.3098609533655217,60,20260731
Todi,2,0.3,0.4216666666666667,0.18234969818833957,60,20260731
Todi,2,0.5,0.4,0.14242898914600408,60,20260731
Todi,3,0.1,0.4333333333333333,0.2898145390474993,60,20260731
Todi,3,0.3,0.41666666666666674,0.1949938431593585,60,20260731
Todi,3,0.5,0.36770833333333336,0.14097668672714994,60,20260731
Marwa,1,0.1,0.5166666666666666,0.2970349393234872,60,20260731
Marwa,1,0.3,0.43833333333333335,0.18327682745024257,60,20260731
Marwa,1,0.5,0.425,0.13654328177032427,60,20260731
Marwa,2,0.1,0.5111111111111112,0.2972989939043223,60,20260731
Marwa,2,0.3,0.48000000000000015,0.1634376468466787,60,20260731
Marwa,2,0.5,0.3625,0.1326074875816289,60,20260731
Marwa,3,0.1,0.39444444444444443,0.29745731413950977,60,20260731
Marwa,3,0.3,0.47833333333333333,0.15740659502762927,60,20260731
Marwa,3,0.5,0.40625,0.13295652086557458,60,20260731
Purvi,1,0.1,0.5222222222222221,0.30294640167032333,60,20260731
Purvi,1,0.3,0.4666666666666667,0.18655363809640824,60,20260731
Purvi,1,0.5,0.42291666666666666,0.12832787610379412,60,20260731
Purvi,2,0.1,0.4444444444444444,0.25795565004196946,60,20260731
Purvi,2,0.3,0.4366666666666666,0.18316119293908864,60,20260731
Purvi,2,0.5,0.396875,0.12856412450668145,60,20260731
Purvi,3,0.1,0.5111111111111111,0.3035674062202196,60,20260731
Purvi,3,0.3,0.4,0.18319203594561173,60,20260731
Purvi,3,0.5,0.38958333333333334,0.1257217861554802,60,20260731
Bhimpalasi,1,0.1,0.49999999999999994,0.3276349077378074,60,20260731
Bhimpalasi,1,0.3,0.46666666666666673,0.19104233860912334,60,20260731
Bhimpalasi,1,0.5,0.3885416666666667,0.15442436280484895,60,20260731
Bhimpalasi,2,0.1,0.41111111111111115,0.27696680110439,60,20260731
Bhimpalasi,2,0.3,0.48333333333333345,0.14976441009490019,60,20260731
Bhimpalasi,2,0.5,0.4,0.13818205260096897,60,20260731
Bhimpalasi,3,0.1,0.5388888888888889,0.30742026459472427,60,20260731
Bhimpalasi,3,0.3,0.425,0.1536284313376083,60,20260731
Bhimpalasi,3,0.5,0.384375,0.1360696987713606,60,20260731
